Algorithm,GraphType,NumVertices,Density,AverageTimeNanoseconds
Dijkstra,AdjacencyMatrix,10,0.25,11775
Dijkstra,AdjacencyMatrix,10,0.5,19974.6
Dijkstra,AdjacencyMatrix,10,0.75,23734.6
Dijkstra,AdjacencyMatrix,10,1,23856.7
Dijkstra,AdjacencyMatrix,50,0.25,102150
Dijkstra,AdjacencyMatrix,50,0.5,109593
Dijkstra,AdjacencyMatrix,50,0.75,114378
Dijkstra,AdjacencyMatrix,50,1,125755
Dijkstra,AdjacencyMatrix,100,0.25,218665
Dijkstra,AdjacencyMatrix,100,0.5,309101
Dijkstra,AdjacencyMatrix,100,0.75,362316
Dijkstra,AdjacencyMatrix,100,1,425801
Dijkstra,AdjacencyMatrix,500,0.25,3.25781e+06
Dijkstra,AdjacencyMatrix,500,0.5,5.06949e+06
Dijkstra,AdjacencyMatrix,500,0.75,5.87003e+06
Dijkstra,AdjacencyMatrix,500,1,6.7087e+06
Dijkstra,AdjacencyMatrix,1000,0.25,1.14348e+07
Dijkstra,AdjacencyMatrix,1000,0.5,1.81194e+07
Dijkstra,AdjacencyMatrix,1000,0.75,2.10904e+07
Dijkstra,AdjacencyMatrix,1000,1,2.40852e+07
Dijkstra,AdjacencyList,10,0.25,3176.25
Dijkstra,AdjacencyList,10,0.5,4890.83
Dijkstra,AdjacencyList,10,0.75,5819.16
Dijkstra,AdjacencyList,10,1,6437.08
Dijkstra,AdjacencyList,50,0.25,42884.2
Dijkstra,AdjacencyList,50,0.5,60040.8
Dijkstra,AdjacencyList,50,0.75,72091.7
Dijkstra,AdjacencyList,50,1,81186.2
Dijkstra,AdjacencyList,100,0.25,125224
Dijkstra,AdjacencyList,100,0.5,179508
Dijkstra,AdjacencyList,100,0.75,214999
Dijkstra,AdjacencyList,100,1,247847
Dijkstra,AdjacencyList,500,0.25,1.51032e+06
Dijkstra,AdjacencyList,500,0.5,2.26768e+06
Dijkstra,AdjacencyList,500,0.75,2.95912e+06
Dijkstra,AdjacencyList,500,1,3.61121e+06
Dijkstra,AdjacencyList,1000,0.25,4.68872e+06
Dijkstra,AdjacencyList,1000,0.5,7.64527e+06
Dijkstra,AdjacencyList,1000,0.75,1.02992e+07
Dijkstra,AdjacencyList,1000,1,1.28085e+07
